scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_capacity_MW,farm_area_km2,orientation_deg_from_north,assumptions_layout_orientation_deg_from_north,squareness,farm_AEP_MWh,farm_AEP_GWh,farm_AEP_no_wake_MWh,farm_AEP_no_wake_GWh,wake_loss_frac,wake_loss_pct,farm_cf,farm_cf_pct,turbine_net_yield_MWh,turbine_no_wake_yield_MWh,Lx_m,Ly_m,nx,ny,spacing_x_m,spacing_y_m,spacing_x_D,spacing_y_D,min_spacing_D,rank_AEP,rank_CF,rank_wake_loss
electricity_nt49_tc15_A20_a5d500a1,electricity,49,15.0,735.0,20.0,75.0,30.0,2.0,3799242.673048079,3799.242673048079,4284437.76236988,4284.43776236988,0.11324591842207599,11.3245918422076,0.590072791142186,59.007279114218605,77535.56475608324,87437.50535448735,6324.555320336759,3162.2776601683795,10,5,702.7283689263065,790.5694150420949,2.977662580196214,3.349870402720741,2.977662580196214,51.0,449.0,449.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,60.0,30.0,1.0,3798644.640797716,3798.644640797716,4284437.76236988,4284.43776236988,0.11338550085588228,11.338550085588228,0.589979908799695,58.9979908799695,77523.36001627993,87437.50535448735,5477.2255750516615,5477.2255750516615,7,7,912.870929175277,912.870929175277,3.86809715752236,3.86809715752236,3.86809715752236,52.0,450.0,450.0
electricity_nt49_tc15_A20_a5d500a1,electricity,49,15.0,735.0,20.0,45.0,30.0,1.0,3798619.2646486135,3798.6192646486134,4284437.76236988,4284.43776236988,0.11339142372149735,11.339142372149736,0.5899759675470776,58.99759675470776,77522.84213568599,87437.50535448735,4472.13595499958,4472.13595499958,7,7,745.3559924999299,745.3559924999299,3.158288103813262,3.158288103813262,3.158288103813262,53.0,451.0,451.0
electricity_nt49_tc15_A20_a5d500a1,electricity,49,15.0,735.0,20.0,45.0,30.0,2.0,3798071.740640157,3798.071740640157,4284437.76236988,4284.43776236988,0.11351921738751003,11.351921738751003,0.5898909298046403,58.98909298046403,77511.66817632974,87437.50535448735,6324.555320336759,3162.2776601683795,10,5,702.7283689263065,790.5694150420949,2.977662580196214,3.349870402720741,2.977662580196214,54.0,452.0,452.0
electricity_nt49_tc15_A25_52121bac,electricity,49,15.0,735.0,25.0,0.0,30.0,2.0,3797361.3305702196,3797.3613305702197,4284437.76236988,4284.43776236988,0.11368502912509126,11.368502912509125,0.5897805936958685,58.97805936958685,77497.17001163714,87437.50535448735,7071.067811865475,3535.5339059327375,10,5,785.6742013183862,883.8834764831844,3.329127971688077,3.7452689681490865,3.329127971688077,55.0,453.0,453.0
electricity_nt49_tc15_A25_52121bac,electricity,49,15.0,735.0,25.0,0.0,30.0,0.5,3796791.486574773,3796.791486574773,4284437.76236988,4284.43776236988,0.11381803233976073,11.381803233976074,0.5896920893633357,58.96920893633357,77485.5405423423,87437.50535448735,3535.5339059327375,7071.067811865475,5,10,883.8834764831844,785.6742013183862,3.7452689681490865,3.329127971688077,3.329127971688077,56.0,454.0,454.0
electricity_nt49_tc15_A20_a5d500a1,electricity,49,15.0,735.0,20.0,15.0,30.0,1.0,3796609.9743904164,3796.6099743904165,4284437.76236988,4284.43776236988,0.11386039780156088,11.386039780156088,0.5896638981130085,58.96638981130084,77481.83621204931,87437.50535448735,4472.13595499958,4472.13595499958,7,7,745.3559924999299,745.3559924999299,3.158288103813262,3.158288103813262,3.158288103813262,57.0,455.0,455.0
electricity_nt49_tc15_A25_52121bac,electricity,49,15.0,735.0,25.0,90.0,30.0,0.5,3795407.6895232857,3795.4076895232856,4284437.76236988,4284.43776236988,0.11414101452044301,11.414101452044301,0.5894771673225989,58.94771673225989,77457.2997861895,87437.50535448735,3535.5339059327375,7071.067811865475,5,10,883.8834764831844,785.6742013183862,3.7452689681490865,3.329127971688077,3.329127971688077,58.0,456.0,456.0
electricity_nt49_tc15_A25_52121bac,electricity,49,15.0,735.0,25.0,90.0,30.0,2.0,3794886.657979184,3794.886657979184,4284437.76236988,4284.43776236988,0.11426262476967519,11.42626247696752,0.5893962442113477,58.93962442113477,77446.6664893711,87437.50535448735,7071.067811865475,3535.5339059327375,10,5,785.6742013183862,883.8834764831844,3.329127971688077,3.7452689681490865,3.329127971688077,59.0,457.0,457.0
electricity_nt49_tc15_A20_a5d500a1,electricity,49,15.0,735.0,20.0,75.0,30.0,1.0,3793580.370292205,3793.580370292205,4284437.76236988,4284.43776236988,0.11456751604349702,11.456751604349702,0.5891933604032251,58.91933604032251,77420.00755698378,87437.50535448735,4472.13595499958,4472.13595499958,7,7,745.3559924999299,745.3559924999299,3.158288103813262,3.158288103813262,3.158288103813262,60.0,458.0,458.0
electricity_nt49_tc15_A25_52121bac,electricity,49,15.0,735.0,25.0,30.0,30.0,0.5,3793526.3211485306,3793.5263211485308,4284437.76236988,4284.43776236988,0.11458013126786759,11.45801312678676,0.58918496585415,58.91849658541501,77418.90451323532,87437.50535448735,3535.5339059327375,7071.067811865475,5,10,883.8834764831844,785.6742013183862,3.7452689681490865,3.329127971688077,3.329127971688077,61.0,459.0,459.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,30.0,30.0,1.0,3788772.851105304,3788.7728511053037,4284437.76236988,4284.43776236988,0.11568960474067103,11.568960474067103,0.5884466888928189,58.84466888928189,77321.89492051641,87437.50535448735,5477.2255750516615,5477.2255750516615,7,7,912.870929175277,912.870929175277,3.86809715752236,3.86809715752236,3.86809715752236,62.0,462.0,462.0
