scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_area_km2,farm_capacity_MW,stack_overplant_factor,compressor_outlet_pressure_bar,export_pipeline_diameter_inch,wake_loss_frac,farm_cf,infield_horizontal_cable_length_m,infield_horizontal_pipeline_length_m,num_export_pipelines,yield_el_MWh_year,yield_h2_MWh_year,yield_h2_kg_year,stack_sp_expected,stack_eff1,stack_eff2,total_LCOE,total_capex_EUR,total_annual_capex_EUR_per_year,total_annual_opex_EUR_per_year,total_annual_cost_EUR_per_year,turbine_LCOE,hydrogen_LCOE,infra_LCOE
hydrogen_central_nt125_tc15_A200_55876774,hydrogen_central,125,15.0,200,1875.0,2.0,150,8.0,0.10352008261059809,0.5965446543145069,150849.44665313014,,2,,7545452.947983535,191314729.91844663,0.2896537822928125,,,70.22423938297675,5433002696.630327,449534505.2232736,80339188.84890983,529873694.0721834,37.09146382552353,10.829224727351567,22.303550830101653
hydrogen_central_nt150_tc15_A200_cab814bd,hydrogen_central,150,15.0,200,2250.0,1.0,150,8.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,2,,8310467.778386912,210711657.66701096,0.5733481125985473,,,72.55321141583717,6217411626.456598,514437635.19611025,88513490.49369797,602951125.6898082,40.41243923166672,8.273406006753394,23.867366177417054
hydrogen_central_nt150_tc15_A200_2c7f6728,hydrogen_central,150,15.0,200,2250.0,1.1,150,8.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,2,,8415395.651348542,213372100.69342148,0.5210134670563205,,,71.98666134823499,6242647342.764887,516525674.8820904,89270561.9829466,605796236.865037,39.90855427302066,8.508332605893786,23.569774469320546
hydrogen_central_nt150_tc15_A200_e86f946f,hydrogen_central,150,15.0,200,2250.0,1.2,150,8.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,2,,8506209.122830588,215674673.4997614,0.4776550415537789,,,71.55188160863419,6267829130.856323,518609252.46936864,90026015.62568969,608635268.0950583,39.4824849978561,8.751256331341605,23.318140279436484
hydrogen_central_nt150_tc15_A200_479df18d,hydrogen_central,150,15.0,200,2250.0,1.3,150,8.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,2,,8584005.846229587,217647207.05450273,0.4408883134894451,,,71.23333009157403,6292949030.6823015,520687709.3320043,90779612.62046903,611467321.9524734,39.124655795557445,9.001865991650352,23.106808304366222
hydrogen_central_nt150_tc15_A200_40c1d57a,hydrogen_central,150,15.0,200,2250.0,1.4,150,8.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,2,,8649862.139398493,219316991.36405915,0.40921156273456555,,,71.01776227978387,6318019945.495887,522762113.1038283,91531740.06487659,614293853.1687049,38.82677766054431,9.260101516612549,22.93088310262701
hydrogen_central_nt150_tc15_A200_616cdaaf,hydrogen_central,150,15.0,200,2250.0,1.5,150,8.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,2,,8709807.884842658,220836913.91588894,0.3817813948491992,,,70.85304369131694,6343055507.053814,524833591.69611937,92282806.91161442,617116398.6077337,38.55955016703017,9.520433521715997,22.773060002570787
hydrogen_central_nt150_tc15_A200_4d4b8764,hydrogen_central,150,15.0,200,2250.0,1.6,150,8.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,2,,8762021.854385223,222160797.5249803,0.3576929123849163,,,70.75263060009429,6368065803.072181,526902979.78110546,93033115.79216543,619936095.5732709,38.329769048989625,9.78550902348958,22.637352527615093
hydrogen_central_nt150_tc15_A200_97f2b064,hydrogen_central,150,15.0,200,2250.0,1.7,150,8.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,2,,8808802.44221698,223346917.90611005,0.33643403629778784,,,70.6967219987425,6393055386.747303,528970654.09683865,93782803.30241911,622753457.3992578,38.12621253386406,10.053376304781594,22.517133160096847
hydrogen_central_nt150_tc15_A200_d20d750d,hydrogen_central,150,15.0,200,2250.0,1.8,150,8.0,0.11633680565513049,0.5880160219717878,179133.71790059205,,2,,8854147.540031428,224496641.4815271,0.31760471312162675,,,70.65270080329412,6418032710.4132,531037314.00166714,94532123.01239601,625569437.0140631,37.930955245816165,10.31993028665608,22.40181527082188
